"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"47","20210511_TOP_1_0003_0001.mp4","13963","20210511_BOTTOM_1_0003_0001.mp4","13432","npz6.19","1.67278",105.24583,"5.26292","4.49849","2293.49035","6.74088","46.81713","61.90675","-173.22209","-206.07600","-2277.63579","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"48","20210511_TOP_1_0003_0001.mp4","13964","20210511_BOTTOM_1_0003_0001.mp4","13433","npz6.19","1.67334",114.45418,"5.46535","4.27838","1800.98485","28.15153","86.52593","54.36161","283.18895","801.13520","-1587.93352","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"49","20210511_TOP_1_0003_0001.mp4","13965","20210511_BOTTOM_1_0003_0001.mp4","13434","npz6.19","1.67389",123.32276,"4.55286","2.10514","1986.71056","27.58709","89.33631","77.44258","530.75124","751.51414","-1760.83743","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"50","20210511_TOP_1_0003_0001.mp4","13980","20210511_BOTTOM_1_0003_0001.mp4","13449","npz6.19","1.68224",103.62229,"4.16646","5.09589","1683.93785","32.04968","81.17172","65.29317","505.74910","736.69482","-1427.28598","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"51","20210511_TOP_1_0003_0001.mp4","13983","20210511_BOTTOM_1_0003_0001.mp4","13452","npz6.19","1.68390",112.96791,"2.64430","4.28162","2367.43779","8.45094","47.11287","86.31935","220.52860","-269.10711","-2341.73230","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"52","20210511_TOP_1_0003_0001.mp4","13986","20210511_BOTTOM_1_0003_0001.mp4","13455","npz6.19","1.68557",132.45466,"6.70219","11.72532","2050.43360","34.06793","88.99859","60.71807","388.80720","1080.79446","-1698.52590","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"54","20210511_TOP_1_0003_0001.mp4","13997","20210511_BOTTOM_1_0003_0001.mp4","13466","npz6.19","1.69169",133.76972,"3.98208","3.16062","1818.89908","27.88115","89.61583","77.05855","447.27684","723.49414","-1607.76040","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"55","20210511_TOP_1_0003_0001.mp4","14003","20210511_BOTTOM_1_0003_0001.mp4","13472","npz6.19","1.69503",93.51116,"4.07204","1.93972","1937.49701","25.68179","42.87415","71.11561","507.29539","669.08707","-1746.10096","Mullidae","Parupeneus","spilurus","37355015",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"56","20210511_TOP_1_0003_0001.mp4","14004","20210511_BOTTOM_1_0003_0001.mp4","13473","npz6.19","1.69558",108.38192,"2.67016","1.59085","2604.89459","4.89839","18.18985","70.37585","198.52393","100.31398","-2595.38074","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"57","20210511_TOP_1_0003_0001.mp4","14007","20210511_BOTTOM_1_0003_0001.mp4","13476","npz6.19","1.69725",109.7713,"3.69357","4.44296","2311.65714","14.91341","42.60524","75.78822","425.12186","416.18290","-2233.79094","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"58","20210511_TOP_1_0003_0001.mp4","14017","20210511_BOTTOM_1_0003_0001.mp4","13486","npz6.19","1.70281",115.01674,"4.71278","3.82886","1910.60215","28.77136","66.33756","69.96950","507.71269","766.74442","-1674.73323","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"59","20210511_TOP_1_0003_0001.mp4","14020","20210511_BOTTOM_1_0003_0001.mp4","13489","npz6.19","1.70448",140.16439,"6.96858","4.23928","2389.23517","29.47683","35.76062","88.13725","347.36906","1123.18536","-2079.96011","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
