"sample","family","genus","species","length","number","range","frameleft","frameright","marine.region","latitude","longitude","date","time","site","location","status","depth","successful.count","successful.length","NetName","ResName","ResArea","zone","ZoneIUCN","NatLegend","Area_KM2","GAZ_DATE","LATEST_GAZ","campaignid","project","id","scientific"
"npz6.1","Pomacentridae","Chromis","westaustralis",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Chromis westaustralis"
"npz6.1","Scaridae","Scarus","chameleon",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Scarus chameleon"
"npz6.1","Scaridae","Scarus","ghobban",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Scarus ghobban"
"npz6.1","Scaridae","Scarus","sp3",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Scarus sp3"
"npz6.1","Scaridae","Scarus","spp",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Scarus spp"
"npz6.1","Scorpididae","Neatypus","obliquus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Neatypus obliquus"
"npz6.1","Scorpididae","Scorpis","georgiana",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Scorpis georgiana"
"npz6.1","Serranidae","Caprodon","schlegelii",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Caprodon schlegelii"
"npz6.1","Serranidae","Epinephelus","rivulatus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Epinephelus rivulatus"
"npz6.1","Serranidae","Plectropomus","spp",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Plectropomus spp"
